2017-05-27 10:45:26,452 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Jeff:Jeff:0.0.1-SNAPSHOT @ C:\Users\imch\Desktop\kkkkk\Jeff\pom.xml.
2017-05-27 10:45:31,725 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Jeff/src
2017-05-27 10:45:31,727 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Jeff/src overlaps with sources folder /Jeff/src
2017-05-27 10:45:32,099 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Jeff/src/test/java because it overlaps with /Jeff/src
2017-05-27 10:45:33,663 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-05-27 10:45:34,515 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Jeff:Jeff:0.0.1-SNAPSHOT @ C:\Users\imch\Desktop\kkkkk\Jeff\pom.xml.
2017-05-27 10:45:37,861 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Jeff/src
2017-05-27 10:45:37,861 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Jeff/src overlaps with sources folder /Jeff/src
2017-05-27 10:45:38,162 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Jeff/src/test/java because it overlaps with /Jeff/src
2017-05-27 10:45:38,831 [Worker-11] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Jeff
2017-05-27 10:45:38,885 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2017-05-27 10:45:40,060 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-27 10:45:40,106 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2017-05-27 10:45:40,176 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
